millis,stamp,datetime,motion
999,1563810931, 2019/7/22 15:55:31, Inactive
1999,1563810932, 2019/7/22 15:55:32, Inactive
2999,1563810933, 2019/7/22 15:55:33, Inactive
3999,1563810934, 2019/7/22 15:55:34, Active
4998,1563810935, 2019/7/22 15:55:35, Active
5999,1563810936, 2019/7/22 15:55:36, Active
6999,1563810937, 2019/7/22 15:55:37, Active
7999,1563810938, 2019/7/22 15:55:38, Active
8999,1563810939, 2019/7/22 15:55:39, Active
9999,1563810940, 2019/7/22 15:55:40, Active
10999,1563810941, 2019/7/22 15:55:41, Active
11999,1563810942, 2019/7/22 15:55:42, Active
12999,1563810943, 2019/7/22 15:55:43, Active
13999,1563810944, 2019/7/22 15:55:44, Active
14999,1563810945, 2019/7/22 15:55:45, Active
16000,1563810946, 2019/7/22 15:55:46, Active
16999,1563810947, 2019/7/22 15:55:47, Active
17999,1563810948, 2019/7/22 15:55:48, Active
18999,1563810949, 2019/7/22 15:55:49, Active
19999,1563810950, 2019/7/22 15:55:50, Active
20999,1563810951, 2019/7/22 15:55:51, Inactive
21999,1563810952, 2019/7/22 15:55:52, Inactive
22999,1563810953, 2019/7/22 15:55:53, Inactive
23999,1563810954, 2019/7/22 15:55:54, Inactive
24999,1563810955, 2019/7/22 15:55:55, Inactive
25999,1563810956, 2019/7/22 15:55:56, Inactive
26998,1563810957, 2019/7/22 15:55:57, Active
27999,1563810958, 2019/7/22 15:55:58, Active
28999,1563810959, 2019/7/22 15:55:59, Active
30000,1563810960, 2019/7/22 15:56:0, Active
30999,1563810961, 2019/7/22 15:56:1, Active
32000,1563810962, 2019/7/22 15:56:2, Active
33000,1563810963, 2019/7/22 15:56:3, Active
33999,1563810964, 2019/7/22 15:56:4, Active
34999,1563810965, 2019/7/22 15:56:5, Active
35999,1563810966, 2019/7/22 15:56:6, Inactive
37000,1563810967, 2019/7/22 15:56:7, Inactive
37999,1563810968, 2019/7/22 15:56:8, Inactive
38999,1563810969, 2019/7/22 15:56:9, Inactive
39999,1563810970, 2019/7/22 15:56:10, Inactive
40999,1563810971, 2019/7/22 15:56:11, Active
41999,1563810972, 2019/7/22 15:56:12, Active
42999,1563810973, 2019/7/22 15:56:13, Active
44000,1563810974, 2019/7/22 15:56:14, Active
44999,1563810975, 2019/7/22 15:56:15, Active
46000,1563810976, 2019/7/22 15:56:16, Active
46999,1563810977, 2019/7/22 15:56:17, Active
48000,1563810978, 2019/7/22 15:56:18, Active
48999,1563810979, 2019/7/22 15:56:19, Active
49999,1563810980, 2019/7/22 15:56:20, Active
50998,1563810981, 2019/7/22 15:56:21, Active
51999,1563810982, 2019/7/22 15:56:22, Active
52999,1563810983, 2019/7/22 15:56:23, Inactive
53999,1563810984, 2019/7/22 15:56:24, Inactive
54999,1563810985, 2019/7/22 15:56:25, Inactive
55998,1563810986, 2019/7/22 15:56:26, Active
56999,1563810987, 2019/7/22 15:56:27, Active
57999,1563810988, 2019/7/22 15:56:28, Active
58998,1563810989, 2019/7/22 15:56:29, Active
59999,1563810990, 2019/7/22 15:56:30, Active
60999,1563810991, 2019/7/22 15:56:31, Active
61999,1563810992, 2019/7/22 15:56:32, Active
62999,1563810993, 2019/7/22 15:56:33, Active
64000,1563810994, 2019/7/22 15:56:34, Active
64999,1563810995, 2019/7/22 15:56:35, Active
65999,1563810996, 2019/7/22 15:56:36, Inactive
66999,1563810997, 2019/7/22 15:56:37, Inactive
67999,1563810998, 2019/7/22 15:56:38, Inactive
68999,1563810999, 2019/7/22 15:56:39, Inactive
69999,1563811000, 2019/7/22 15:56:40, Inactive
70999,1563811001, 2019/7/22 15:56:41, Inactive
71999,1563811002, 2019/7/22 15:56:42, Inactive
72999,1563811003, 2019/7/22 15:56:43, Inactive
73999,1563811004, 2019/7/22 15:56:44, Active
74999,1563811005, 2019/7/22 15:56:45, Active
75999,1563811006, 2019/7/22 15:56:46, Active
76998,1563811007, 2019/7/22 15:56:47, Active
78000,1563811008, 2019/7/22 15:56:48, Active
78999,1563811009, 2019/7/22 15:56:49, Active
79998,1563811010, 2019/7/22 15:56:50, Active
80999,1563811011, 2019/7/22 15:56:51, Active
81999,1563811012, 2019/7/22 15:56:52, Inactive
82999,1563811013, 2019/7/22 15:56:53, Active
83999,1563811014, 2019/7/22 15:56:54, Active
84999,1563811015, 2019/7/22 15:56:55, Active
85999,1563811016, 2019/7/22 15:56:56, Active
86999,1563811017, 2019/7/22 15:56:57, Active
87999,1563811018, 2019/7/22 15:56:58, Active
